WindowPolicy,WindowDefinition,WindowCrossesNextTargetDay,WDate,WhDateAfterDayMonthTranspose,DateActuallyChanges,DateMappingType,WhTimestampOffsetMinutes,Signal,ComparisonScope,ComparisonScopeDescription,PassMinimumFinitePoints,MatchedFinitePoints,PearsonR,RMSE_W,MAE_W,P99AbsoluteError_W,MaximumAbsoluteError_W,FractionWithin0p5W,RoundingAgreementFraction,ExactEqualityFraction,EquivalentOnMeasuredSlope,EquivalentOnMeasuredIntercept_W,PassR0p99,CohortDefinition,PolicySignalAggregateMatchedFinitePoints,PolicySignalAggregatePearsonR,PolicySignalDaysPassR0p99,PolicySignalCohortDays
within_target_day_core,W 00:00-22:59; Wh transposed target date 01:00-23:59,False,2020-02-02,2020-02-02,False,diagonal_identity_control,60,Production,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,1376,0.9999998782263511,0.09086150974691277,0.04127906976744192,0.20000000000004547,0.20000000000004547,1.0,1.0,0.7936046511627907,0.9999840342340014,0.003817853800512694,True,2020 dates with W month and day both in 2..8; compare with Wh after transposing month/day and adding 60 minutes,67360.0,0.9999999726194309,49.0,49.0
within_target_day_core,W 00:00-22:59; Wh transposed target date 01:00-23:59,False,2020-02-02,2020-02-02,False,diagonal_identity_control,60,Consumption,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,1376,0.9999999954113972,0.16530451111615402,0.13662790697674934,0.2000000000007276,0.2000000000007276,1.0,1.0,0.3168604651162791,1.0000057705226315,-0.010478551427468119,True,2020 dates with W month and day both in 2..8; compare with Wh after transposing month/day and adding 60 minutes,67360.0,0.99999999101364,49.0,49.0
within_target_day_core,W 00:00-22:59; Wh transposed target date 01:00-23:59,False,2020-02-03,2020-03-02,True,actual_month_day_transpose,60,Production,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,1368,0.9999994145182642,0.08999675107846045,0.04049707602339186,0.20000000000001705,0.20000000000004547,1.0,1.0,0.797514619883041,1.0000755564543662,-0.0022110098860679273,True,2020 dates with W month and day both in 2..8; compare with Wh after transposing month/day and adding 60 minutes,67360.0,0.9999999726194309,49.0,49.0
within_target_day_core,W 00:00-22:59; Wh transposed target date 01:00-23:59,False,2020-02-03,2020-03-02,True,actual_month_day_transpose,60,Consumption,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,1368,0.9999999940063826,0.1639248151721992,0.13435672514620045,0.20000000000042292,0.2000000000007276,1.0,1.0,0.32821637426900585,1.000001584165242,-0.009816312846396613,True,2020 dates with W month and day both in 2..8; compare with Wh after transposing month/day and adding 60 minutes,67360.0,0.99999999101364,49.0,49.0
within_target_day_core,W 00:00-22:59; Wh transposed target date 01:00-23:59,False,2020-02-04,2020-04-02,True,actual_month_day_transpose,60,Production,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,1371,0.9999999425926361,0.10076295383979499,0.05076586433260381,0.20000000000004547,0.20000000000004547,1.0,1.0,0.7461706783369803,0.9999896541097512,-0.00012108065112670374,True,2020 dates with W month and day both in 2..8; compare with Wh after transposing month/day and adding 60 minutes,67360.0,0.9999999726194309,49.0,49.0
within_target_day_core,W 00:00-22:59; Wh transposed target date 01:00-23:59,False,2020-02-04,2020-04-02,True,actual_month_day_transpose,60,Consumption,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,1371,0.9999999943181358,0.16410133675128866,0.1346462436177997,0.20000000000040927,0.2000000000007276,1.0,1.0,0.3267687819110139,1.0000032501590777,0.002470432000109213,True,2020 dates with W month and day both in 2..8; compare with Wh after transposing month/day and adding 60 minutes,67360.0,0.99999999101364,49.0,49.0
within_target_day_core,W 00:00-22:59; Wh transposed target date 01:00-23:59,False,2020-02-05,2020-05-02,True,actual_month_day_transpose,60,Production,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,1367,0.9999998517827995,0.09164033892938604,0.04198975859546416,0.20000000000004547,0.20000000000004547,1.0,1.0,0.7900512070226774,0.9999798219971324,-0.0016619159698834096,True,2020 dates with W month and day both in 2..8; compare with Wh after transposing month/day and adding 60 minutes,67360.0,0.9999999726194309,49.0,49.0
within_target_day_core,W 00:00-22:59; Wh transposed target date 01:00-23:59,False,2020-02-05,2020-05-02,True,actual_month_day_transpose,60,Consumption,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,1367,0.9999999928284509,0.16046749551787007,0.12874908558888562,0.20000000000027285,0.2000000000007276,1.0,1.0,0.3562545720555962,0.9999969392207623,0.002540484048495273,True,2020 dates with W month and day both in 2..8; compare with Wh after transposing month/day and adding 60 minutes,67360.0,0.99999999101364,49.0,49.0
within_target_day_core,W 00:00-22:59; Wh transposed target date 01:00-23:59,False,2020-02-06,2020-06-02,True,actual_month_day_transpose,60,Production,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,1376,0.9999985976455095,0.08776951846793356,0.038517441860464886,0.20000000000001705,0.20000000000001705,1.0,1.0,0.8074127906976745,1.0000990767514275,-0.001924494959528289,True,2020 dates with W month and day both in 2..8; compare with Wh after transposing month/day and adding 60 minutes,67360.0,0.9999999726194309,49.0,49.0
within_target_day_core,W 00:00-22:59; Wh transposed target date 01:00-23:59,False,2020-02-06,2020-06-02,True,actual_month_day_transpose,60,Consumption,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,1376,0.9999999934211778,0.16495242443074434,0.13604651162790554,0.2000000000007276,0.2000000000007276,1.0,1.0,0.31976744186046513,0.9999997347159173,-0.0036773933895801747,True,2020 dates with W month and day both in 2..8; compare with Wh after transposing month/day and adding 60 minutes,67360.0,0.99999999101364,49.0,49.0
